"id","artist_id","title","description","image","release_date"
1,3,"The Joshua Tree","U2's iconic album featuring hits like 'Where the Streets Have No Name' and 'With or Without You'","u2-joshua-tree.jpg","1987-03-09"
2,3,"Achtung Baby","U2's acclaimed album with tracks such as 'One' and 'Mysterious Ways'","u2-achtung-baby.png","1991-11-18"
3,2,"Music for the Masses","Depeche Mode's influential album with songs like 'Strangelove' and 'Enjoy the Silence'","depeche-mode-music-for-the-masses.png","1987-09-28"
4,2,"Violator","Depeche Mode's bestselling album known for 'Personal Jesus' and 'Policy of Truth'","depeche-mode-violator.png","1990-03-19"
5,1,"Highway 61 Revisited","Bob Dylan's classic album featuring 'Like a Rolling Stone' and 'Desolation Row'","bob-dylan-highway-69-revisited.jpg","1965-08-30"
6,1,"Blonde on Blonde","Bob Dylan's double album with tracks such as 'Rainy Day Women #12 & 35' and 'Visions of Johanna'","bob-dylan-blonde-on-blonde.jpg","1966-05-16"
7,4,"So","Peter Gabriel's successful album with hits like 'Sledgehammer' and 'In Your Eyes'","peter-gabrial-so.jpg","1986-05-19"
8,4,"Us","Peter Gabriel's follow-up album known for 'Digging in the Dirt' and 'Steam'","peter-gabrial-us.jpg","1992-09-28"
9,5,"Reggatta de Blanc","The Police's album featuring 'Message in a Bottle' and 'Don't Stand So Close to Me'","ploice-regatta-de-blanc.jpg","1979-10-02"
10,5,"Synchronicity","The Police's final studio album with hits like 'Every Breath You Take' and 'King of Pain'","police-synchronicity.jpg","1983-06-01"
11,5,"Best of The Police","A compilation of The Police's most iconic songs.","police-best-of.jpg","2004-06-01"
12,3,"The Best of 80 - 90","The Best of 1980–1990 is the first greatest hits compilation by Irish rock band U2, released on 2 November 1998. It mostly contains the group's hit singles from the 1980s, but also mixes in some live staples, as well as a re-recording of the 1987 B-side Sweetest Thing.","u2-best-of-80-90.jpg","1998-11-02"
