"id","name"
1,"Simon & Garfunkel"
2,"The Beatles"
3,"Nirvana"
4,"Shubidua"
5,"The Boomtown Rats"
6,"Kliche"
7,"Passenger"
8,"Sneakers"
9,"Bryan Adams"
10,"Olivia Newton-John"
11,"Peter Belli"
12,"Robbie Williams"
13,"Klondyke"
14,"Genesis"
15,"Temptations"
16,"Katie Melua"
17,"Eagles"
18,"Johannes Møllehave"
19,"Fleetwood Mac"
20,"Katrine Muff Enevoldsen"
21,"J. Marks"
22,"Pink Floyd"
23,"Rasmus Seebach"
24,"Counting Crows"
25,"The B-52's"
26,"Steppeulvene"
27,"Electric Light Orchestra"
28,"Neil Young"
29,"Four Jacks"
30,"Pia Raug"
31,"Kim Larsen"
32,"Pink"
33,"Lou Reed"
34,"Roxy Music"
35,"Nancy Sinatra"
36,"Abba"
37,"Tom Petty"
38,"Bon Jovi"
39,"Kris Kristoffersen"
40,"Shit & Chanel"
41,"Spiritual"
42,"The Dubliners"
43,"Depeche Mode"
44,"Michael Jackson"
45,"Clausen & Petersen"
46,"PJ Harvey"
47,"Alicia Keys"
48,"Human League"
49,"Peter Gabriel"
50,"Willie Nelson"
51,"Pil"
52,"Oasis"
53,"Emil fra Lønneberg"
54,"Gangway"
55,"Blur"
56,"Daimi"
57,"Tom Waits"
58,"Bruce Springsteen"
59,"The Police"
60,"Pete Seeger"
61,"Frank Zappa"
62,"Edwyn Collins"
63,"Kris Kristofferson"
64,"Dolly Parton"
65,"Pointer Sisters"
66,"Kai Normann Andersen"
67,"Johnny Madsen"
68,"Pil & Andreas Odbjerg"
69,"Minds of 99"
70,"Phil Collins"
71,"Roy Orbinson"
72,"Free"
73,"Diverse"
74,"TV2"
75,"Mentor Williams"
76,"Uncle Kracker"
77,"Babybird"
78,"Phil Spector"
79,"Aerosmith"
80,"Marvin Gaye"
81,"Bloodhound Gang"
82,"Eric Clapton"
83,"Teddy Petersen"
84,"Nephew"
85,"Brenda Lee"
86,"Isobel Campbell"
87,"Buena vista social club"
88,"Crash test dummies"
89,"Shakin Stevens"
90,"Halberg-Larsen"
91,"Otto Brandenburg"
92,"Ray Parker Junior"
93,"Meat Loaf"
94,"Calloway"
95,"Radiohead"
96,"Tue West"
97,"Poul Krebs"
98,"Richard Hawley"
99,"Duke Ellington"
100,"Tears for Fears"
101,"Gillian Welch"
102,"Poul Kjøller"
103,"Al Green"
104,"Dead or Alive"
105,"Sko & Torp"
106,"Suede"
107,"Marc Anthony"
108,"Brandi Carlile"
109,"Daniel Lanois"
110,"Allan Olsen"
111,"Sebastian"
112,"Tøsedrengene"
113,"Robert Palmer"
114,"Santana"
115,"Paul McCartney"
116,"Sam Cooke"
117,"The band"
118,"Roxette"
119,"Trad."
120,"Matchbox"
121,"Beatles"
122,"AC/DC"
123,"John Lenneon - John Denver"
124,"Grandmaster Flash & The Furious Five"
125,"Chubby Checker"
126,"Duran Duran"
127,"Dire Straits"
128,"Melissa Etheridge"
129,"Loretta Lynn"
130,"The Avett Brothers"
131,"Fats Domino"
132,"The Kinks"
133,"Alphaville"
134,"Jason Mraz"
135,"Bjørn Tidmand"
136,"Beach Boys"
137,"Mads Langer"
138,"Elton John"
139,"U2"
140,"The Rolling Stones"
141,"Nik Kershaw"
142,"The Doobie Brothers"
143,"Halfdan Rasmussen"
144,"Miriam Makeba"
145,"Erik Clausen og Leif Sylvester Petersen"
146,"Robyn"
147,"Kim Wilde"
148,"Miss Dasia Hackett "
149,"Black Crowes"
150,"Britney Spears"
151,"Greg Holden"
152,"Bobby Mcferrin"
153,"Chris Deburgh"
154,"Monty Python"
155,"Sara Grabow"
156,"Mike Oldfield"
157,"De gyldne løver"
158,"Norman Krieg"
159,"Sade"
160,"Ray Dee Ohh"
161,"Frank Sinatra"
162,"The Doors"
163,"Ralph McTell"
164,"The Magnetic Fields"
165,"Wilson Pickett"
166,"Backstreet Boys"
167,"Gasolin"
168,"Bob Marley"
169,"Jimmy Cliff"
170,"Heinze"
171,"Dy Plambeck"
172,"David Bowie"
173,"ZZ Top"
174,"Albert Hammond"
175,"TuPac"
176,"Paul Simon"
177,"Ulige Numre"
178,"Anders Matthesen"
179,"Nick Cave"
180,"Suzi Quatro"
181,"Bob Dylan"
182,"Søren Kragh Jacobsen"
183,"Rixton"
184,"Traveling Wilburys"
185,"The Verve"
186,"John Fogerty"
187,"Ugly Kid Joe"
188,"Jimi Hendrix"
189,"The Clash"
190,"Julie Maria & Nikolaj Busk"
191,"Ozzy Osbourne"
192,"Badfinger"
193,"Aage Stentoft"
194,"Sweet"
195,"Liller"
